name,lat,lng
to be deleted,to be deleted,to be deleted
AMK Bus Interchange,1.3502278,103.8495111
Bishan Bus Interchange,1.2759298,103.8319659
Harbourfront Bus Terminal,1.266948,103.819095
Kampong Bahru Bus Terminal,1.3696302,103.8482042
Kent Ridge Bus Terminal,1.2942117,103.7690639
Queens Street Bus Terminal,1.326925,103.855475
Shenton Way Bus Terminal,1.3035363,103.8567334
St. Michael's Bus Terminal,1.2756361,103.8481929
Seletar Country Club,1.409643,103.858065
CCMW,1.3101643,103.7928386
CCMW,1.3080621,103.8606415
CCMW Food House,1.2755784,103.8412807
CCMW Queen Street,1.3005699,103.8541001
CCMW Toa Payoh Central,1.341245,103.845458
Chang Cheng Mee Wah Restaurant,1.2884877,103.815906
CMW Redhill Food House,1.3010063,103.7985786
NTUC Foodfare Anchorvale,1.283857,103.852378
Kuofu Foodcourt,1.3348605,103.848618
NTUC Foodfare Court@Clifford Centre,1.2911713,103.8574756
The Gallerie Foodcourt,1.2804971,103.838479
Health Sciences Authority,1.3895385,103.8863978
Maritime and Port Authority of Singapore,1.273673,103.801381
Ministry of Social & Family Development (MSF),1.3336676,103.8396503
Ministry of the Environment & Water Resources Environment Building,1.3102694,103.8362083
National Environment Agency Environment Building,1.3954927,103.8934028
PSA Tanjong Pagar Complex,1.3102694,103.8362083
PSA Vista,1.2712966,103.8426296
Sengkang General Hospital,1.324088,103.814086
Tan Tock Seng Hospital,1.2830867,103.7793448
National Library,1.2974415,103.8541438
Adam Road Food Centre,1.3075861,103.8569093
Amoy Food Centre,1.279116,103.8465144
Beo Crescent Market & Food Centre,1.3209662,103.8466251
Berseh Food Centre,1.288766,103.827528
Bukit Timah Market & Food Centre,1.3394069,103.776049
Commonwealth Crescent Market,1.2838774,103.8499789
Golden Mile Food Centre,1.306959,103.8003444
Market Street Food Centre,1.2802419,103.8449058
Maxwell Food Centre,1.305847,103.863862
Newton Food Centre,1.3030908,103.8639299
North Bridge Road Market & Food Centre,1.3119097,103.8393033
Sembawang Hill Food Centre,1.2849131,103.8325965
Tanglin Halt Market,1.3009936,103.7980769
Tiong Bahru Market,1.2924504,103.831136
Zion Riverside Food Centre,1.2813332,103.8589238
Ang Mo Kio MRT station,1.3723618,103.8290076
Bayfront MRT Station,1.3507781,103.8487215
Bencoolen MRT Station (DT23),1.3142525,103.8634869
Bendemeer MRT Station (DT23),1.3699324,103.8496144
Bishan MRT station,1.272255,103.803149
Botanic Gardens MRT station,1.340703,103.84668
Braddell MRT Station,1.2989304,103.8500348
Bras Basah MRT Station,1.2993154,103.8551853
Bugis MRT Station (DT14),1.285116,103.8437397
Chinatown MRT Station (DT19),1.296647,103.850933
City Hall MRT Station,1.293076,103.8520677
Clark Quay MRT Station (NE5),1.2814265,103.8391803
Dhoby Ghaut MRT Station,1.2799446,103.8519803
Dhoby Ghaut MRT Station Circle Line,1.2985903,103.8456162
Downtown MRT Station (DT17),1.293356,103.8556268
Esplanade MRT Station,1.275878,103.7915919
Farrer Road MRT station,1.298811,103.846127
Fort Canning MRT Station (DT20),1.2929188,103.8445026
Geylang Bahru MRT Station (DT24),1.2844534,103.7828687
HarbourFront MRT Station (NE1),1.3042885,103.8545877
Holland Village MRT station,1.3042885,103.8545877
Jalan Besar MRT Station (DT22),1.3179783,103.866604
Jalan Besar MRT Station B1 (DT22),1.3114202,103.8713119
Kallang MRT Station (EW10),1.2655228,103.8212221
Marina Bay MRT Station,1.276274,103.854629
Marina South Pier station,1.3040084,103.831781
Marymount Station,1.2999351,103.8635334
Newton MRT station,1.2708997,103.8632543
Nicoll Highway MRT Station,1.3125093,103.8379519
Orchard MRT Station,1.348581,103.839588
Outram MRT Station,1.2918962,103.860823
Outram MRT Station (NE3),1.2838742,103.8514941
Promenade MRT Station,1.2814265,103.8391803
Raffles Place MRT Station,1.2887613,103.8468272
Tanjong Pagar MRT Station,53.271705,-9.054221
Telok Ayer MRT Station (DT18),1.3389409,103.8704661
Woodleigh MRT Station (NE11),1.2767709,103.8451658
Marina South Pier,1.2708997,103.8632543
Malabar Muslim Jamaath Mosque,1.2900376,103.8112565
Lum Chang Building,1.3254086,103.8536718
Palais Renaissance,1.3052008,103.8597175
Wee Hur Construction Pte Ltd,1.3129528,103.8564134
MTR 1924 Indian Restaurant,1.3066492,103.8295057
Dawson Place Shopping Centre,1.2927082,103.8110301
Liang Court,1.2828136,103.8426668
New Bridge Centre,1.2920913,103.8443637
Palais Renaissance,1.2920234,103.8414422
Palais Renaissance,1.3066492,103.8295057
Robertson Walk,1.3206513,103.8443689
Square 2 Shopping Mall,1.3066492,103.8295057
The Central,1.2886812,103.8465685
The Shoppes at Marina Bay Sands,1.2864763,103.8271508
The Shoppes at Marina Bay Sands,1.2931776,103.8271938
Tiong Bahru Plaza,1.2837366,103.8591923
