id,name,address,postalcode,lat,lng
1,AMK Bus Interchange,53 Ang Mo Kio Avenue 3 S(569933),Singapore (569933),1.36885,103.84823
2,Bishan Bus Interchange,514 Bishan Street 13 S(570514),Singapore (570514),1.34834,103.8532
3,Harbourfront Bus Terminal,4 Seah Im Road S(099115),Singapore (099115),1.26772,103.81889
4,Kampong Bahru Bus Terminal,11A Spooner Road S(168795),Singapore (168795),1.28944,103.84998
5,Kent Ridge Bus Terminal,37B Clementi Road S(129762),Singapore (129762),1.29934,103.76942
6,Queens Street Bus Terminal, Ban San St,Singapore (884001),1.30334,103.85632
7,Shenton Way Bus Terminal,31 Shenton Way S(079121),Singapore (079121),1.28944,103.84998
8,St. Michael's Bus Terminal,10 Whampoa Road S(327691),Singapore (327691),1.32626,103.85557
9,Seletar Country Club,101 Seletar Club Road S(798273),Singapore (798273),1.41527,103.86116
10,CCMW,Blk 1 Cantonment Road S(080001),Singapore (080001),1.27637,103.84093
11,CCMW,Blk 803 King George's Avenue S(200803),Singapore (200803),1.30884,103.8606
12,CCMW Food House,Blk 40 Holland Drive #01-39 S (270040),Singapore (270040),1.30721,103.79348
13,CCMW Queen Street,Blk 269 Queen Street #01-236 S(180269),Singapore (180269),1.30029,103.85406
14,CCMW Toa Payoh Central,Blk 78C Toa Payoh Central S(313078),Singapore (313078),1.3342,103.84915
15,Chang Cheng Mee Wah Restaurant,Blk 111 Toa Payoh Lorong 1 #01-366 S(310111),Singapore (310111),1.33784,103.84568
16,CMW Redhill Food House,Blk 75D Redhill Road #01-94 S(154075),Singapore (154075),1.28918,103.81583
17,NTUC Foodfare Anchorvale,Blk 308 Anchorvale Road #01-07 S(540308),Singapore (540308),1.3931,103.88724
18,Kuofu Foodcourt,Blk 88 Tanglin Halt S(141088),Singapore (141088),1.30069,103.79715
19,NTUC Foodfare Court@Clifford Centre,Clifford Centre 24 Raffles Place S(048621),Singapore (048621),1.28454,103.85203
20,The Gallerie Foodcourt,Marina Sq 6 Raffles Boulevard #04-101/102 S(039594),Singapore (039594),1.29193,103.85767
21,Health Sciences Authority,11 Outram Road S(169078),Singapore (169078),1.2802,103.83767
22,Maritime and Port Authority of Singapore,460 Alexandra Road #18-00 S(119963),Singapore (119963),1.27775,103.79977
23,Ministry of Social & Family Development (MSF),512 Thomson Rd Level 1 5 & 17 S(298136),Singapore (298136),1.33602,103.83716
24,Ministry of the Environment & Water Resources Environment Building,40 Scotts Road Level 1-4 S(228231),Singapore (228231),1.31074,103.83579
25,National Environment Agency Environment Building,40 Scotts Road Level 6/11/12/19/20/21 S(228231),Singapore (228231),1.31074,103.835793
26,PSA Tanjong Pagar Complex,7B Keppel Road #19 - #21 S(089054),Singapore (089054),1.27253,103.84355
